id,nombre,descripcion,grupo,geomt,color,categoria,imagen,descripcion_upper,nombre_upper,num_articulo
102,Vía obligatoria para jinetes,"Indica que los jinetes están obligados a utilizar la vía a que se refiere la señal y que los vehículos no tienen derecho a usarla.

",4,3,4,1,via_obligatoria_para_jinetes.png,"INDICA QUE LOS JINETES ESTAN OBLIGADOS A UTILIZAR LA VIA A QUE SE REFIERE LA SENAL Y QUE LOS VEHICULOS NO TIENEN DERECHO A USARLA.

",VIA OBLIGATORIA PARA JINETES,166
103,Vía obligatoria para ómnibus,Indica a los conductores de ómnibus que tienen la obligación de circular por la vía señalada.,4,3,4,1,via_obligatoria_para_omnibus.png,INDICA A LOS CONDUCTORES DE OMNIBUS QUE TIENEN LA OBLIGACION DE CIRCULAR POR LA VIA SENALADA.,VIA OBLIGATORIA PARA OMNIBUS,166
104,Fin de prohibición de adelantamiento a los vehículos de motor,Indica el fin de la restricción de adelantar impuesta a los vehículos de motor.,5,3,6,1,fin_de_prohibicion_de_adelantamiento_a_los_vehiculos_de_motor.png,INDICA EL FIN DE LA RESTRICCION DE ADELANTAR IMPUESTA A LOS VEHICULOS DE MOTOR.,FIN DE PROHIBICION DE ADELANTAMIENTO A LOS VEHICULOS DE MOTOR,168
105,Fin de restricción del límite máximo de velocidad ,"Indica el cese de la restricción del límite de velocidad establecido para un tramo de la vía.
",5,3,6,1,fin_de_restriccion_del_limite_maximo_de_velocidad.png,"INDICA EL CESE DE LA RESTRICCION DEL LIMITE DE VELOCIDAD ESTABLECIDO PARA UN TRAMO DE LA VIA.
",FIN DE RESTRICCION DEL LIMITE MAXIMO DE VELOCIDAD ,168
107,Fin de todas las prohibiciones de carácter local,Indica que quedan sin efecto todas las prohibiciones de carácter local establecidas a los usuarios de la vía.,5,3,6,1,fin_de_todas_las_prohibiciones_de_caracter_local.png,INDICA QUE QUEDAN SIN EFECTO TODAS LAS PROHIBICIONES DE CARACTER LOCAL ESTABLECIDAS A LOS USUARIOS DE LA VIA.,FIN DE TODAS LAS PROHIBICIONES DE CARACTER LOCAL,168
108,Fin de velocidad mínima obligatoria,Indica que deja de ser obligatoria la velocidad mínima establecida.,5,3,6,1,fin_de_velocidad_minima_obligatoria.png,INDICA QUE DEJA DE SER OBLIGATORIA LA VELOCIDAD MINIMA ESTABLECIDA.,FIN DE VELOCIDAD MINIMA OBLIGATORIA,168
109,Terreno para campismo,Terreno para campismo,6,2,4,1,terreno_para_campismo.png,TERRENO PARA CAMPISMO,TERRENO PARA CAMPISMO,170
111,Sentido de circulación,"Indica que la vía es de una sola dirección en el sentido que muestra la flecha. Se coloca paralela al eje de la vía a que se refiere la señal.
",6,2,4,1,sentido_de_circulacion.png,"INDICA QUE LA VIA ES DE UNA SOLA DIRECCION EN EL SENTIDO QUE MUESTRA LA FLECHA. SE COLOCA PARALELA AL EJE DE LA VIA A QUE SE REFIERE LA SENAL.
",SENTIDO DE CIRCULACION,170
112,Vía en sentido único,Indica que la vía por la cual se transita es en el sentido que señala la flecha de la señal. Se coloca en forma perpendicular al eje de la vía por la que se circula.,6,4,4,1,via_en_sentido_unico.png,INDICA QUE LA VIA POR LA CUAL SE TRANSITA ES EN EL SENTIDO QUE SENALA LA FLECHA DE LA SENAL. SE COLOCA EN FORMA PERPENDICULAR AL EJE DE LA VIA POR LA QUE SE CIRCULA.,VIA EN SENTIDO UNICO,170
113,Paso de peatones,"<br>a) con franjas tipo cebra: indica a los usuarios de la vía el punto donde el peatones puede realizar el cruce con prioridad.<br>
b) mediante dos líneas paralelas: indica a los usuarios de la vía el punto donde el peatón puede realizar el cruce, sin concederle prioridad.

",6,4,4,1,paso_de_peatones_con_franjas_tipo_cebra.png,"<BR>A) CON FRANJAS TIPO CEBRA: INDICA A LOS USUARIOS DE LA VIA EL PUNTO DONDE EL PEATONES PUEDE REALIZAR EL CRUCE CON PRIORIDAD.<BR>
B) MEDIANTE DOS LINEAS PARALELAS: INDICA A LOS USUARIOS DE LA VIA EL PUNTO DONDE EL PEATON PUEDE REALIZAR EL CRUCE, SIN CONCEDERLE PRIORIDAD.

",PASO DE PEATONES,170
114,Paso de personas con discapacidad físico motora,Paso de personas con discapacidad físico motora.,6,4,4,1,paso_de_personas_con_discapacidad_fisico_motora.png,PASO DE PERSONAS CON DISCAPACIDAD FISICO MOTORA.,PASO DE PERSONAS CON DISCAPACIDAD FISICO MOTORA,170
115,Puesto telefónico,Puesto telefónico.,6,2,4,1,puesto_telefonico.png,PUESTO TELEFONICO.,PUESTO TELEFONICO,170
116,Estación de servicios,Estación de servicios,6,2,4,1,estacion_de_servicio.png,ESTACION DE SERVICIOS,ESTACION DE SERVICIOS,170
117,Taller de reparaciones,Taller de reparaciones,6,2,4,1,taller_de_reparaciones.png,TALLER DE REPARACIONES,TALLER DE REPARACIONES,170
118,Parque nacional o zoológico,Parque nacional o zoológico.,6,2,4,1,parque_nacional_o_zoologico.png,PARQUE NACIONAL O ZOOLOGICO.,PARQUE NACIONAL O ZOOLOGICO,170
119,Monumento nacional,Monumento nacional,6,2,4,1,monumento_nacional.png,MONUMENTO NACIONAL,MONUMENTO NACIONAL,170
121,Policlínico,Policlínico,6,2,4,1,policlinico.png,POLICLINICO,POLICLINICO,170
122,Cafetería,Cafetería,6,2,4,1,cafeteria.png,CAFETERIA,CAFETERIA,170
123,Restaurante,Restaurante,6,2,4,1,restaurante.png,RESTAURANTE,RESTAURANTE,170
124,Motel u hotel,Motel u hotel,6,2,4,1,motel_u_hotel.png,MOTEL U HOTEL,MOTEL U HOTEL,170
125,Parada de ómnibus,Indica el lugar destinado exclusivamente para la detención momentánea de los vehículos dedicados al transporte colectivo de pasajeros por ómnibus.,6,2,4,1,parada_de_omnibus.png,INDICA EL LUGAR DESTINADO EXCLUSIVAMENTE PARA LA DETENCION MOMENTANEA DE LOS VEHICULOS DEDICADOS AL TRANSPORTE COLECTIVO DE PASAJEROS POR OMNIBUS.,PARADA DE OMNIBUS,170
126,Hospital,"Indica a los usuarios de la vía la proximidad de un hospital, debiendo adoptar las precauciones necesarias y evitar los ruidos.",6,4,4,1,hospital.png,"INDICA A LOS USUARIOS DE LA VIA LA PROXIMIDAD DE UN HOSPITAL, DEBIENDO ADOPTAR LAS PRECAUCIONES NECESARIAS Y EVITAR LOS RUIDOS.",HOSPITAL,170
128,Lugar acondicionado para excursiones,Lugar acondicionado para excursiones.,6,2,4,1,lugar_acondicionado_para_excursiones.png,LUGAR ACONDICIONADO PARA EXCURSIONES.,LUGAR ACONDICIONADO PARA EXCURSIONES,170
129,Lugar pintoresco,Lugar pintoresco.,6,4,4,1,lugar_pintoresco.png,LUGAR PINTORESCO.,LUGAR PINTORESCO,170
130,Paso de peatones a desnivel,Paso de peatones a desnivel.,6,4,4,1,paso_de_peatones_a_desnivel.png,PASO DE PEATONES A DESNIVEL.,PASO DE PEATONES A DESNIVEL,170
131,Carretera para automóviles,"Indica que a partir de ese punto son aplicables las reglas y normas que rigen la circulación en vías que no son autopistas, que estén reservadas a la circulación de automóviles y no sean de acceso a las propiedades colindantes.",6,4,4,1,carretera_para_automoviles.png,"INDICA QUE A PARTIR DE ESE PUNTO SON APLICABLES LAS REGLAS Y NORMAS QUE RIGEN LA CIRCULACION EN VIAS QUE NO SON AUTOPISTAS, QUE ESTEN RESERVADAS A LA CIRCULACION DE AUTOMOVILES Y NO SEAN DE ACCESO A LAS PROPIEDADES COLINDANTES.",CARRETERA PARA AUTOMOVILES,170
132,Fin de carretera para automóviles,Indica que en un punto posterior a la señal finaliza la carretera para automóviles.,6,4,4,1,fin_de_carretera_para_automoviles.png,INDICA QUE EN UN PUNTO POSTERIOR A LA SENAL FINALIZA LA CARRETERA PARA AUTOMOVILES.,FIN DE CARRETERA PARA AUTOMOVILES,170
133,Estación de servicios y taller de reparaciones,Estación de servicios y taller de reparaciones.,6,4,4,1,estacion_de_servicios_y_taller.png,ESTACION DE SERVICIOS Y TALLER DE REPARACIONES.,ESTACION DE SERVICIOS Y TALLER DE REPARACIONES,170
137,Vía sin salida,Vía sin salida.,6,4,4,1,via_sin_salida.png,VIA SIN SALIDA.,VIA SIN SALIDA,170
140,Autopista,Indica el comienzo de una autopista.,6,2,3,1,autopista.png,INDICA EL COMIENZO DE UNA AUTOPISTA.,AUTOPISTA,170
141,Fin de circulación de autopista,Indica el punto a partir del cual finaliza la autopista.,6,2,3,1,fin_de_circulacion_de_autopista.png,INDICA EL PUNTO A PARTIR DEL CUAL FINALIZA LA AUTOPISTA.,FIN DE CIRCULACION DE AUTOPISTA,170
142,Placa que indica el tiempo de la acción de la señal,"Indica los horarios y días de la semana de vigencia de la señal.
",7,2,6,1,placa_que_indica_el_tiempo_de_accion_de_la_senal.png,"INDICA LOS HORARIOS Y DIAS DE LA SEMANA DE VIGENCIA DE LA SENAL.
",PLACA QUE INDICA EL TIEMPO DE LA ACCION DE LA SENAL,172
143,Placa que indica la longitud del tramo peligroso o restringido,Indica la distancia que abarca la prohibición o restricción.,7,2,6,1,placa_que_indica_la_longitud_del_tramo_peligroso_o_restringido.png,INDICA LA DISTANCIA QUE ABARCA LA PROHIBICION O RESTRICCION.,PLACA QUE INDICA LA LONGITUD DEL TRAMO PELIGROSO O RESTRINGIDO,172
144,Placa que indica el tipo de vehículo a que la señal se refiere,Placa que indica el tipo de vehículo a que la señal se refiere.,7,2,6,1,placa_que_indica_el_tipo_de_vehiculo_a_que_la_senal_se_refiere.png,PLACA QUE INDICA EL TIPO DE VEHICULO A QUE LA SENAL SE REFIERE.,PLACA QUE INDICA EL TIPO DE VEHICULO A QUE LA SENAL SE REFIERE,172
147,Señal de ruta,Indica la codificación de la carretera.,7,4,4,1,senales_de_ruta.png,INDICA LA CODIFICACION DE LA CARRETERA.,SENAL DE RUTA,172
148,Placa que indica el esquema de la intersección que se aproxima y la vía que posee preferencia en esa intersección,Placa que indica el esquema de la intersección que se aproxima y la vía que posee preferencia en esa intersección.,7,4,6,1,placa_que_indica_el_esquema_de_la_interseccion_que_se_aproxima_y_la_via_que_posee_preferencia.png,PLACA QUE INDICA EL ESQUEMA DE LA INTERSECCION QUE SE APROXIMA Y LA VIA QUE POSEE PREFERENCIA EN ESA INTERSECCION.,PLACA QUE INDICA EL ESQUEMA DE LA INTERSECCION QUE SE APROXIMA Y LA VIA QUE POSEE PREFERENCIA EN ESA INTERSECCION,172
